"UMI_transID","UMI_cellID","target","CellId","pixel_x","pixel_y","idx_z","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_2_83871","c_1_2_2733","ARG1",2733,811.45,2516.663,0,227.061,-3153.99934,0,"e",-0.658743262687985,0.999734813621953,"1","e"
"t_1_2_83872","c_1_2_2733","HILPDA",2733,818.5428,2516.928,0,228.337704,-3154.04704,0,"e",-1.26647317572318,1.00016910165913,"1","e"
"t_1_2_83873","c_1_2_2733","LMNA",2733,851.1,2516.82,0,234.198,-3154.0276,0,"e",-0.366656658093429,0.999991561912213,"1","e"
"t_1_2_83879","c_1_2_2733","FN1",2733,844.1125,2517.488,0,232.94025,-3154.14784,0,"e",-0.554819473281333,1.08493142666373,"1","e"
"t_1_2_83888","c_1_2_2733","G6PC2",2733,806.775,2518.65,0,226.2195,-3154.357,0,"e",-1.17308192787112,0.999831242864162,"1","e"
"t_1_2_83891","c_1_2_2733","GPNMB",2733,817.8,2518.857,0,228.204,-3154.39426,0,"e",-1.13795284053725,1.010175031358,"1","e"
"t_1_2_83897","c_1_2_2733","GPNMB",2733,846.7429,2519.943,0,233.413722,-3154.58974,0,"e",-1.13795284053725,1.00246734586862,"1","e"
"t_1_2_83901","c_1_2_2733","HLA-A",2733,844.1444,2520.022,0,232.945992,-3154.60396,0,"e",-0.81524096451094,1.07258964985593,"1","e"
"t_1_2_83912","c_1_2_2733","CD59",2733,846.1333,2521.05,0,233.303994,-3154.789,0,"e",-0.806139075366508,1.00023420330994,"1","e"
"t_1_2_83921","c_1_2_2733","B2M",2733,880.2833,2522.417,0,239.450994,-3155.03506,0,"e",-0.760298361278963,0.999697643965805,"1","e"
"t_1_2_83922","c_1_2_2733","SERPINA1",2733,817.86,2522.24,0,228.2148,-3155.0032,0,"e",-2.45600215931508,0.997851657529502,"1","e"
"t_1_2_83927","c_1_2_2733","B2M",2733,794.2601,2522.76,0,223.966818,-3155.0968,0,"e",-0.760298361278963,0.999719118229424,"1","e"
"t_1_2_83928","c_1_2_2733","HLA-B",2733,856.4333,2523.017,0,235.157994,-3155.14306,0,"e",-1.31591637617107,0.999853188597878,"1","e"
"t_1_2_83935","c_1_2_2733","B2M",2733,863.35,2523.55,0,236.403,-3155.239,0,"e",-0.760298361278963,1.10705861033499,"1","e"
"t_1_2_83945","c_1_2_2733","HLA-A",2733,810.025,2524.125,0,226.8045,-3155.3425,0,"e",-0.81524096451094,1.06872571145606,"1","e"
"t_1_2_83948","c_1_2_2733","HLA-A",2733,817.52,2524.66,0,228.1536,-3155.4388,0,"e",-0.81524096451094,1.0004253150498,"1","e"
"t_1_2_83949","c_1_2_2733","FN1",2733,833.08,2524.78,0,230.9544,-3155.4604,0,"e",-0.554819473281333,1.09200419959627,"1","e"
"t_1_2_83953","c_1_2_2733","CD63",2733,857.2,2525.34,0,235.296,-3155.5612,0,"e",-1.29633731920844,1.04612868011246,"1","e"
"t_1_2_83954","c_1_2_2733","STAT3",2733,843.0334,2525.611,0,232.746012,-3155.60998,0,"e",0,0.999776571967756,"1","e"
"t_1_2_83955","c_1_2_2733","CCND1",2733,870.7374,2525.763,0,237.732732,-3155.63734,0,"e",-3.10608853174243,-0.0639107623821099,"0","e"
"t_1_2_83961","c_1_2_2733","LGALS3",2733,766.775,2526.4,0,219.0195,-3155.752,0,"e",-0.133872654578574,1.00024762202739,"1","e"
"t_1_2_83963","c_1_2_2733","LGALS3BP",2733,859.8,2526.59,0,235.764,-3155.7862,0,"e",-1.45390294101887,1.12908164058184,"1","e"
"t_1_2_83964","c_1_2_2733","TAP2",2733,783.28,2526.7,0,221.9904,-3155.806,0,"e",-3.45071457696229,0.215088606323369,"1","e"
"t_1_2_83965","c_1_2_2733","B2M",2733,840.1333,2526.683,0,232.223994,-3155.80294,0,"e",-0.760298361278963,1.03552054123679,"1","e"
"t_1_2_83969","c_1_2_2733","APOD",2733,877.225,2526.825,0,238.9005,-3155.8285,0,"e",-2.92621869946705,-0.232940933120424,"0","e"
"t_1_2_83972","c_1_2_2733","GPNMB",2733,837.3143,2527.414,0,231.716574,-3155.93452,0,"e",-1.13795284053725,1.07212113744524,"1","e"
"t_1_2_83973","c_1_2_2733","HLA-B",2733,849.2199,2527.54,0,233.859582,-3155.9572,0,"e",-1.31591637617107,1.00004879928198,"1","e"
"t_1_2_83976","c_1_2_2733","DDR1",2733,842.7143,2527.615,0,232.688574,-3155.9707,0,"e",0,1.00013451591685,"1","e"
"t_1_2_83978","c_1_2_2733","MZT2A",2733,794.8,2527.84,0,224.064,-3156.0112,0,"e",-1.39001825857841,1.00870573948451,"1","e"
"t_1_2_83979","c_1_2_2733","NFKBIA",2733,885.775,2527.725,0,240.4395,-3155.9905,0,"e",-1.059845993002,1.17551037454614,"1","e"
"t_1_2_83984","c_1_2_2733","CD63",2733,819.2667,2528.917,0,228.468006,-3156.20506,0,"e",-1.29633731920844,0.999964542591624,"1","e"
"t_1_2_83991","c_1_2_2733","MT2A",2733,817.8091,2529.373,0,228.205638,-3156.28714,0,"e",-0.988192187430357,1.00269208235752,"1","e"
"t_1_2_83992","c_1_2_2733","B2M",2733,856.8286,2529.257,0,235.229148,-3156.26626,0,"e",-0.760298361278963,1.08128538817826,"1","e"
"t_1_2_83993","c_1_2_2733","IGFBP7",2733,873.7714,2529.385,0,238.278852,-3156.2893,0,"e",-2.26307157008211,-0.424708820058363,"0","e"
"t_1_2_83995","c_1_2_2733","NFKBIA",2733,830.4111,2529.9,0,230.473998,-3156.382,0,"e",-1.059845993002,1.01815282289097,"1","e"
"t_1_2_84005","c_1_2_2733","RGS1",2733,892.225,2531.325,0,241.6005,-3156.6385,0,"e",-0.933977243670932,1.07357308682787,"1","e"
"t_1_2_84008","c_1_2_2733","HLA-C",2733,775.6499,2531.425,0,220.616982,-3156.6565,0,"e",-1.19147033105972,1.00562368518536,"1","e"
"t_1_2_84009","c_1_2_2733","LMNA",2733,867.7,2531.333,0,237.186,-3156.63994,0,"e",-0.366656658093429,0.922771075309217,"1","e"
"t_1_2_84010","c_1_2_2733","HLA-A",2733,813.0875,2531.375,0,227.35575,-3156.6475,0,"e",-0.81524096451094,1.01702149491637,"1","e"
"t_1_2_84012","c_1_2_2733","NFKBIA",2733,883.2334,2531.65,0,239.982012,-3156.697,0,"e",-1.059845993002,1.00223507047216,"1","e"
